date,equity,cash,n_positions
2023-09-01,1000000.0,1000000.0,0
2023-09-04,1000000.0,1000000.0,0
2023-09-05,1000000.0,1000000.0,0
2023-09-06,1000000.0,1000000.0,0
2023-09-07,1000000.0,1000000.0,0
2023-09-08,1000000.0,1000000.0,0
2023-09-11,1000000.0,1000000.0,0
2023-09-12,1000000.0,1000000.0,0
2023-09-13,1000000.0,1000000.0,0
2023-09-14,1000000.0,1000000.0,0
2023-09-15,1000000.0,1000000.0,0
2023-09-18,1000000.0,1000000.0,0
2023-09-19,1000000.0,1000000.0,0
2023-09-20,1000000.0,1000000.0,0
2023-09-21,1000000.0,1000000.0,0
2023-09-22,1000000.0,1000000.0,0
2023-09-25,1000000.0,1000000.0,0
2023-09-26,1000000.0,1000000.0,0
2023-09-27,1000000.0,1000000.0,0
2023-09-28,1000000.0,1000000.0,0
2023-09-29,1000000.0,1000000.0,0
2023-10-09,1000000.0,1000000.0,0
2023-10-10,1000000.0,1000000.0,0
2023-10-11,1000000.0,1000000.0,0
2023-10-12,1000000.0,1000000.0,0
2023-10-13,1000000.0,1000000.0,0
2023-10-16,1000000.0,1000000.0,0
2023-10-17,1000000.0,1000000.0,0
2023-10-18,1000000.0,1000000.0,0
2023-10-19,1000000.0,1000000.0,0
2023-10-20,1000000.0,1000000.0,0
2023-10-23,1000000.0,1000000.0,0
2023-10-24,1000000.0,1000000.0,0
2023-10-25,1000000.0,1000000.0,0
2023-10-26,1000000.0,1000000.0,0
2023-10-27,1000000.0,1000000.0,0
2023-10-30,1000000.0,1000000.0,0
2023-10-31,1000000.0,1000000.0,0
2023-11-01,1000000.0,1000000.0,0
2023-11-02,1000000.0,1000000.0,0
2023-11-03,1000000.0,1000000.0,0
2023-11-06,1000000.0,1000000.0,0
2023-11-07,1000000.0,1000000.0,0
2023-11-08,1000000.0,1000000.0,0
2023-11-09,1000000.0,1000000.0,0
2023-11-10,1000000.0,1000000.0,0
2023-11-13,1000000.0,1000000.0,0
2023-11-14,1000000.0,1000000.0,0
2023-11-15,1000000.0,1000000.0,0
2023-11-16,1000000.0,1000000.0,0
2023-11-17,1000000.0,1000000.0,0
2023-11-20,1000000.0,1000000.0,0
2023-11-21,1000000.0,1000000.0,0
2023-11-22,1000000.0,1000000.0,0
2023-11-23,1000000.0,1000000.0,0
2023-11-24,1000000.0,1000000.0,0
2023-11-27,1000000.0,1000000.0,0
2023-11-28,1000000.0,1000000.0,0
2023-11-29,1000000.0,1000000.0,0
2023-11-30,1000000.0,1000000.0,0
2023-12-01,1000000.0,1000000.0,0
2023-12-04,1000000.0,1000000.0,0
2023-12-05,1000000.0,1000000.0,0
2023-12-06,1000000.0,1000000.0,0
2023-12-07,1000000.0,1000000.0,0
2023-12-08,1000000.0,1000000.0,0
2023-12-11,1000000.0,1000000.0,0
2023-12-12,1000000.0,1000000.0,0
2023-12-13,1000000.0,1000000.0,0
2023-12-14,1000000.0,1000000.0,0
2023-12-15,1000000.0,1000000.0,0
2023-12-18,1000000.0,1000000.0,0
2023-12-19,1000000.0,1000000.0,0
2023-12-20,1000000.0,1000000.0,0
2023-12-21,1000000.0,1000000.0,0
2023-12-22,1000000.0,1000000.0,0
2023-12-25,1000000.0,1000000.0,0
2023-12-26,1000000.0,1000000.0,0
2023-12-27,1000000.0,1000000.0,0
2023-12-28,1000000.0,1000000.0,0
2023-12-29,1000000.0,1000000.0,0
2024-01-04,1000000.0,1000000.0,0
2024-01-05,1000000.0,1000000.0,0
2024-01-08,1000000.0,1000000.0,0
2024-01-09,1000000.0,1000000.0,0
2024-01-10,1000000.0,1000000.0,0
2024-01-11,1000000.0,1000000.0,0
2024-01-12,1000000.0,1000000.0,0
2024-01-15,1000000.0,1000000.0,0
2024-01-16,1000000.0,1000000.0,0
2024-01-17,1000000.0,1000000.0,0
2024-01-18,1000000.0,1000000.0,0
2024-01-19,1000000.0,1000000.0,0
2024-01-22,1000000.0,1000000.0,0
2024-01-23,1000000.0,1000000.0,0
2024-01-24,1000000.0,1000000.0,0
2024-01-25,1000000.0,1000000.0,0
2024-01-26,1000000.0,1000000.0,0
2024-01-29,1000000.0,1000000.0,0
2024-01-30,1000000.0,1000000.0,0
2024-01-31,1000000.0,1000000.0,0
2024-02-01,1000000.0,1000000.0,0
2024-02-02,1000000.0,1000000.0,0
2024-02-05,1000000.0,1000000.0,0
2024-02-06,1000000.0,1000000.0,0
2024-02-07,1000000.0,1000000.0,0
2024-02-08,1000000.0,1000000.0,0
2024-02-19,1000000.0,1000000.0,0
2024-02-20,1000000.0,1000000.0,0
2024-02-21,1000000.0,1000000.0,0
2024-02-22,1000000.0,1000000.0,0
2024-02-23,1000000.0,1000000.0,0
2024-02-26,1000000.0,1000000.0,0
2024-02-27,1000000.0,1000000.0,0
2024-02-28,1000000.0,1000000.0,0
2024-02-29,1000000.0,1000000.0,0
2024-03-01,1000000.0,1000000.0,0
2024-03-04,1000000.0,1000000.0,0
2024-03-05,1000000.0,1000000.0,0
2024-03-06,1000000.0,1000000.0,0
2024-03-07,1000000.0,1000000.0,0
2024-03-08,1000000.0,1000000.0,0
2024-03-11,1000000.0,1000000.0,0
2024-03-12,1000000.0,1000000.0,0
2024-03-13,1000000.0,1000000.0,0
2024-03-14,1000000.0,1000000.0,0
2024-03-15,1006786.3507144878,868372.5037814907,2
2024-03-18,1004237.705367938,901245.4169347937,2
2024-03-19,1004412.4929193154,835019.0370245698,3
2024-03-20,1004318.7527423885,704923.833753118,5
2024-03-21,1005068.1206214032,590004.62591488,7
2024-03-22,1008862.3608134054,554737.8638834333,7
2024-03-25,1010392.5339974009,552193.0027383754,7
2024-03-26,1015584.6493023294,552193.0027383754,7
2024-03-27,1019553.1995658941,484715.64108072553,8
2024-03-28,1031337.4256951357,484715.64108072553,8
2024-03-29,1028283.3770136265,420106.06874471996,8
2024-04-01,1023597.5212967695,359673.2715902035,8
2024-04-02,1020910.8676015729,472896.746407159,6
2024-04-03,1020499.8990586989,472896.746407159,6
2024-04-08,1031614.4842951037,410524.7879574427,6
2024-04-09,1022202.5014840841,278915.7276678479,8
2024-04-10,1005657.8720111687,278915.7276678479,8
2024-04-11,1004599.5116239062,278915.7276678479,8
2024-04-12,1000849.072390198,278915.7276678479,8
2024-04-15,1005225.1770154665,507922.95220840356,6
2024-04-16,1010530.4758934111,473966.194219028,6
2024-04-17,1021126.557467303,535373.2553780529,5
2024-04-18,1031991.601666156,535373.2553780529,5
2024-04-19,1015796.6135783806,473582.24213573773,5
2024-04-22,1015814.862631803,473582.24213573773,5
2024-04-23,1027744.3782731431,473582.24213573773,5
2024-04-24,1026597.1062790432,473582.24213573773,5
2024-04-25,1022920.2112221096,473582.24213573773,5
2024-04-26,1017857.5794091816,535681.0708594833,4
2024-04-29,1024501.8459226252,535681.0708594833,4
2024-04-30,1026716.3180714418,535681.0708594833,4
2024-05-06,1030550.8452780161,535681.0708594833,4
2024-05-07,1043207.0779401062,657582.4954324677,3
2024-05-08,1044560.5309353991,657582.4954324677,3
2024-05-09,1045293.4750193148,657582.4954324677,3
2024-05-10,1045483.3215017299,588028.3333346263,3
2024-05-13,1052732.80298494,588028.3333346263,3
2024-05-14,1048066.3489789177,527816.9777351185,3
2024-05-15,1051863.6316703588,527816.9777351185,3
2024-05-16,1031890.4248523493,527816.9777351185,3
2024-05-17,1041555.5085623232,527816.9777351185,3
2024-05-20,1035544.859213384,527816.9777351185,3
2024-05-21,1041072.6332337087,395874.47511314077,5
2024-05-22,1033921.3021561501,395874.47511314077,5
2024-05-23,1048100.466113548,395874.47511314077,5
2024-05-24,1053723.4638777203,328071.473780917,5
2024-05-27,1046612.7566211149,436182.020680762,5
2024-05-28,1057475.0260663521,436182.020680762,5
2024-05-29,1063171.237393899,436182.020680762,5
2024-05-30,1048282.5509981993,436182.020680762,5
2024-05-31,1046288.7334932687,436182.020680762,5
2024-06-03,1052869.3449128347,358316.59028776456,7
2024-06-04,1056468.327946888,328613.26824312087,8
2024-06-05,1056077.5836158947,291257.83618197613,8
2024-06-06,1049272.6231894863,327870.64145214175,7
2024-06-07,1050501.210863846,624666.9817275547,5
2024-06-10,1065338.810852175,554458.485050292,6
2024-06-11,1083131.2174000402,554458.485050292,6
2024-06-12,1090417.5873113684,483460.4919703855,6
2024-06-13,1100938.062037923,483460.4919703855,6
2024-06-14,1096259.3376556754,342234.7281458348,6
2024-06-17,1088134.7221672116,342234.7281458348,6
2024-06-18,1080193.20101448,406305.25208817417,5
2024-06-19,1080685.8000047149,534089.1486095418,4
2024-06-20,1085674.4859685595,567348.6894620843,3
2024-06-21,1064907.3978445348,567348.6894620843,3
2024-06-24,1077833.6033885302,567348.6894620843,3
2024-06-25,1086268.560276079,567348.6894620843,3
2024-06-26,1078924.7359947453,714168.1490947567,2
2024-06-27,1089053.1125811602,714168.1490947567,2
2024-06-28,1096874.8845728675,714168.1490947567,2
2024-07-01,1103422.2318655294,714168.1490947567,2
2024-07-02,1094845.6741411835,714168.1490947567,2
2024-07-03,1101171.1350901662,714168.1490947567,2
2024-07-04,1109028.3921140085,714168.1490947567,2
2024-07-05,1113565.083450338,714168.1490947567,2
2024-07-08,1101830.718971313,714168.1490947567,2
2024-07-09,1111015.331520841,714168.1490947567,2
2024-07-10,1095815.3230105408,714168.1490947567,2
2024-07-11,1087888.8405006204,714168.1490947567,2
2024-07-12,1078052.244642742,714168.1490947567,2
2024-07-15,1093313.879427868,714168.1490947567,2
2024-07-16,1075076.300156604,714168.1490947567,2
2024-07-17,1065068.7372550275,714168.1490947567,2
2024-07-18,1063602.2796299043,1063602.2796299043,0
2024-07-19,1063602.2796299043,1063602.2796299043,0
2024-07-22,1062972.439944179,855502.4494797124,3
2024-07-23,1060491.8250844541,889268.2381114827,3
2024-07-24,1064101.8883754758,889268.2381114827,3
2024-07-25,1075215.9573402994,818370.3464409441,4
2024-07-26,1081150.7748794763,746427.4021897877,5
2024-07-29,1082316.673340499,746427.4021897877,5
2024-07-30,1087745.3877228089,539994.3843175229,5
2024-07-31,1095758.2130451712,473070.683760086,6
2024-08-01,1097603.2249541208,538596.2625828888,5
2024-08-02,1098657.3239720988,320941.0376168616,7
2024-08-05,1130634.2620678188,352457.05155683536,7
2024-08-06,1145425.7922327803,208639.8579555325,7
2024-08-07,1171114.2863652033,131568.30966492766,8
2024-08-08,1159251.807817855,131568.30966492766,8
2024-08-09,1156887.358570561,131568.30966492766,8
2024-08-12,1188343.395685754,50064.912921348456,7
2024-08-13,1197698.4481756738,3176.1721275808377,8
2024-08-14,1224326.9764334767,3176.1721275808377,8
2024-08-15,1226010.7132169134,3176.1721275808377,8
2024-08-16,1231158.4367330312,3176.1721275808377,8
2024-08-19,1197315.3004574955,3176.1721275808377,8
2024-08-20,1178611.7967277893,3176.1721275808377,8
2024-08-21,1189876.6359700446,73957.25619237171,7
2024-08-22,1182185.364226493,74781.46334157784,7
2024-08-23,1213907.5674655354,74781.46334157784,7
2024-08-26,1239455.658092942,74781.46334157784,7
2024-08-27,1270452.678791182,6238.077193763529,8
2024-08-28,1278675.1259640707,41497.834014288674,8
2024-08-29,1285177.5558067074,3778.5834595439956,8
2024-08-30,1294729.7437450534,3778.5834595439956,8
2024-09-02,1281807.3776187242,162739.13243479893,7
2024-09-03,1252893.105232098,80876.04018954374,7
2024-09-04,1250890.6613727296,80876.04018954374,7
2024-09-05,1238482.615504165,197708.97093793913,6
2024-09-06,1238066.4253632803,317975.6540718734,6
2024-09-09,1251041.586677353,317975.6540718734,6
2024-09-10,1272078.4870782515,151119.7403537907,8
2024-09-11,1305481.9248867542,151119.7403537907,8
2024-09-12,1326623.9002186002,151119.7403537907,8
2024-09-13,1336636.6585636088,63621.73806259324,8
2024-09-16,1322563.6130396249,63621.73806259324,8
2024-09-17,1313550.538260926,63621.73806259324,8
2024-09-18,1276433.6236422893,3701.713638625246,8
2024-09-19,1297270.794448292,47831.25579362889,8
2024-09-20,1305012.748737071,334484.06963936967,7
2024-09-23,1327814.5537561642,334484.06963936967,7
2024-09-24,1338931.5798337497,162669.11652757326,8
2024-09-25,1381598.4905068378,72236.7934496809,8
2024-09-26,1351384.9404618074,2125.627332241813,8
2024-09-27,1322607.142148503,2125.627332241813,8
2024-09-30,1298282.7677722753,105064.88750559848,7
2024-10-08,1308957.7864233362,117761.03558900514,8
2024-10-09,1301032.468263015,117761.03558900514,8
2024-10-10,1291412.8488919474,42437.47905311406,8
2024-10-11,1299620.841739057,138080.63680133809,7
2024-10-14,1309372.08416669,298914.91104586294,6
2024-10-15,1333952.39495769,123443.76870632755,7
2024-10-16,1320970.988889465,123443.76870632755,7
2024-10-17,1306838.6189942341,123443.76870632755,7
2024-10-18,1335459.4164665388,117872.92542278075,6
2024-10-21,1352333.4862803782,202826.5815307555,5
2024-10-22,1332310.3984336883,126827.59006691193,5
2024-10-23,1352127.7738354588,126827.59006691193,5
2024-10-24,1387718.7919788107,37409.25551769436,6
2024-10-25,1413575.4352576672,1923.8682778781076,7
2024-10-28,1442354.75000163,1923.8682778781076,7
2024-10-29,1414425.2833904936,1923.8682778781076,7
2024-10-30,1417483.6057825629,1923.8682778781076,7
2024-10-31,1442196.4336079897,1923.8682778781076,7
2024-11-01,1459208.7542186312,1923.8682778781076,7
2024-11-04,1478575.2709830906,8362.181650664585,8
2024-11-05,1459305.3286860967,40951.30478365958,7
2024-11-06,1456259.2264345677,127233.4158231434,6
2024-11-07,1461047.2716595684,31146.847084525827,6
2024-11-08,1442027.2989303812,31146.847084525827,6
2024-11-11,1456248.3581754498,31146.847084525827,6
2024-11-12,1439573.4064066005,31146.847084525827,6
2024-11-13,1474508.475047492,31146.847084525827,6
2024-11-14,1464482.1491014045,31146.847084525827,6
2024-11-15,1490949.759383581,540757.4057814032,4
2024-11-18,1512269.0202267906,540757.4057814032,4
2024-11-19,1511950.9475289038,540757.4057814032,4
2024-11-20,1520605.3256319948,540757.4057814032,4
2024-11-21,1508477.716569459,621632.6185965664,3
2024-11-22,1498725.378503234,522915.18933213694,4
2024-11-25,1490005.489814844,522915.18933213694,4
2024-11-26,1489278.4802400703,618889.159416678,3
2024-11-27,1488166.8369020438,618889.159416678,3
2024-11-28,1502298.5647904873,520968.71534938057,4
2024-11-29,1516030.617506573,567995.3333418013,4
2024-12-02,1522797.1483728683,567995.3333418013,4
2024-12-03,1525904.7576982349,751262.0812913228,3
2024-12-04,1493058.655586876,751262.0812913228,3
2024-12-05,1470650.3026280138,797891.5827412474,2
2024-12-06,1475243.5413824576,797891.5827412474,2
2024-12-09,1478945.0331246168,1123917.948836515,1
2024-12-10,1474716.4986879681,1031764.7929090448,2
2024-12-11,1483882.2421917133,933005.8037593614,3
2024-12-12,1473989.0715362984,933005.8037593614,3
2024-12-13,1485116.4033306432,933005.8037593614,3
2024-12-16,1513289.8441983392,933005.8037593614,3
2024-12-17,1513614.166554899,835664.2345371431,4
2024-12-18,1517298.2820322316,835664.2345371431,4
2024-12-19,1523534.2138488006,835664.2345371431,4
2024-12-20,1517264.9969546665,835664.2345371431,4
2024-12-23,1513019.7660730276,927460.0402618748,3
2024-12-24,1511135.693341336,927460.0402618748,3
2024-12-25,1519871.9017183203,927460.0402618748,3
2024-12-26,1518771.994718886,927460.0402618748,3
2024-12-27,1527109.672220684,927460.0402618748,3
2024-12-30,1518877.2265700265,971789.789853197,3
2024-12-31,1521014.9166678928,971789.789853197,3
2025-01-06,1512740.446804853,971789.789853197,3
2025-01-07,1516358.9832457968,971789.789853197,3
2025-01-08,1524417.755809507,872396.8116041231,4
2025-01-09,1529453.4398408036,770714.0583969745,5
2025-01-10,1515100.2797981012,770714.0583969745,5
2025-01-13,1506692.9152851854,976613.6283364119,3
2025-01-14,1507503.2272724267,1344480.9311848746,2
2025-01-15,1511171.821007222,1344480.9311848746,2
2025-01-16,1513292.4292949329,1450307.684437977,1
2025-01-17,1516852.2658391634,1450307.684437977,1
2025-01-20,1510770.8295071367,1249485.8364605687,3
2025-01-21,1513147.6632123552,1250817.7843796567,3
2025-01-22,1519850.8274012946,1250817.7843796567,3
2025-01-23,1516923.1505586437,1250817.7843796567,3
2025-01-24,1519675.6636422002,1250817.7843796567,3
2025-01-27,1522523.5068066015,1150502.5920123246,3
